code,value,description
0,無-無,
1,無-前,
2,無-右,
3,無-後,
4,無-左,
5,無-右前,
6,無-右後,
7,無-左後,
8,無-左前,
1,前-無,
2,前-前,
3,前-右,
4,前-後,
5,前-左,
6,前-右前,
7,前-右後,
8,前-左後,
9,前-左前,
2,右-無,
3,右-前,
4,右-右,
5,右-後,
6,右-左,
7,右-右前,
8,右-右後,
9,右-左後,
10,右-左前,
3,後-無,
4,後-前,
5,後-右,
6,後-後,
7,後-左,
8,後-右前,
9,後-右後,
10,後-左後,
11,後-左前,
4,左-無,
5,左-前,
6,左-右,
7,左-後,
8,左-左,
9,左-右前,
10,左-右後,
11,左-左後,
12,左-左前,
5,右前-無,
6,右前-前,
7,右前-右,
8,右前-後,
9,右前-左,
10,右前-右前,
11,右前-右後,
12,右前-左後,
13,右前-左前,
6,右後-無,
7,右後-前,
8,右後-右,
9,右後-後,
10,右後-左,
11,右後-右前,
12,右後-右後,
13,右後-左後,
14,右後-左前,
7,左後-無,
8,左後-前,
9,左後-右,
10,左後-後,
11,左後-左,
12,左後-右前,
13,左後-右後,
14,左後-左後,
15,左後-左前,
8,左前-無,
9,左前-前,
10,左前-右,
11,左前-後,
12,左前-左,
13,左前-右前,
14,左前-右後,
15,左前-左後,
16,左前-左前,
