資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日)
1,52,059,0001,2,000,001,43020,2,0683,404,2019,12,18,21,09,22,2,3,1,14,00,7,00,23,00,23,03,9,01,70,1,4,21,45,25,03,03,31,31,01,01,07,07,80,30,3,3,2,2,2,2,4,2,354806858,1361126852,4,3
1,52,101,0001,2,000,002,10340,0,0000,201,2019,12,29,02,32,22,1,1,1,01,00,1,09,22,00,23,19,9,30,70,4,2,01,35,01,03,61,31,00,01,00,04,00,10,00,3,0,2,0,2,0,4,2,360344047,1361302662,1,3
1,52,101,0002,2,000,001,20370,0,0000,201,2019,11,16,11,50,12,3,2,2,01,00,1,09,22,09,22,15,9,30,70,4,2,21,75,65,04,51,31,00,01,00,02,00,10,20,3,3,2,0,2,0,4,2,360410320,1361332789,7,3
1,52,101,0003,2,000,002,37000,0,0000,201,2019,12,28,08,55,12,1,2,1,01,00,7,09,22,09,22,14,9,30,70,5,4,21,35,45,03,04,31,31,01,01,10,10,50,50,3,3,2,2,2,2,4,2,360354886,1361121671,7,3
1,52,101,0004,2,000,001,00080,2,4040,201,2019,11,19,05,40,23,3,3,2,14,00,7,00,23,00,23,05,9,01,70,1,2,21,65,65,11,03,01,31,11,01,10,10,60,80,3,2,2,2,2,2,4,2,360605807,1361514338,3,3
1,52,101,0005,2,000,001,10360,0,0000,201,2019,12,14,17,04,21,3,2,2,01,00,1,09,22,09,22,15,9,30,70,4,2,21,65,35,03,51,31,00,01,00,10,00,10,20,3,1,2,0,2,0,4,2,360659055,1361417919,7,3
1,52,101,0006,2,000,001,20970,0,0000,201,2019,12,18,23,12,22,2,1,1,01,00,7,09,22,09,22,15,9,30,70,4,2,21,45,55,04,04,31,31,01,01,03,03,10,40,3,3,2,2,2,2,4,2,360407677,1361405339,4,3
1,52,101,0007,2,000,001,04160,0,0000,322,2019,12,19,22,25,22,3,3,2,01,00,7,09,22,09,22,15,9,30,70,4,2,21,25,45,03,03,31,31,01,01,10,03,50,10,3,3,2,1,2,2,4,2,360522262,1361712549,5,3
1,52,101,0008,2,000,001,37000,0,0000,201,2019,11,23,16,45,21,2,2,1,14,00,7,00,23,00,23,03,9,01,70,5,4,21,35,01,03,51,31,00,01,00,10,00,50,10,3,3,2,0,2,0,4,2,360550552,1361424459,7,1
1,52,101,0009,2,000,001,20190,0,0000,201,2019,12,30,06,15,23,3,2,2,01,00,1,09,22,00,23,17,9,30,70,4,2,01,65,75,03,61,31,00,01,00,04,00,50,00,3,0,2,0,2,0,4,2,360400938,1361316467,2,3
1,52,101,0010,2,000,001,01580,0,0000,201,2019,12,09,07,55,12,1,3,1,01,00,1,09,22,09,22,18,8,30,70,1,2,21,45,55,04,14,31,31,01,11,10,10,20,50,2,2,1,1,2,2,2,4,360120788,1361737868,2,3
1,52,101,0011,2,000,001,37000,0,0000,201,2019,12,29,17,30,21,1,2,2,01,00,7,09,22,00,23,15,9,30,70,4,2,01,45,75,03,61,31,00,01,00,10,00,00,00,4,0,2,0,2,0,4,2,360346948,1361424436,1,3
1,52,101,0012,2,000,002,20200,0,0000,201,2019,11,18,17,55,22,3,1,2,07,00,1,00,23,00,23,04,9,01,70,4,2,21,65,35,03,04,31,31,01,01,04,04,40,10,3,3,2,2,2,2,4,2,360405211,1361224885,2,3
1,52,101,0013,2,000,001,20200,0,0000,201,2020,01,10,19,45,22,1,2,1,01,00,7,09,22,09,22,15,9,30,70,4,2,21,65,01,03,33,31,31,01,00,03,03,00,20,4,2,2,0,2,0,4,2,360407197,1361147429,6,3
