資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日)
1,52,105,0005,2,000,001,10010,0,0000,210,2018,12,30,16,08,13,2,3,1,14,00,1,00,23,00,23,04,9,01,70,4,4,21,45,45,04,04,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,360920288,1361209611,1,3
1,52,105,0006,2,000,001,99000,0,0000,210,2018,12,22,04,26,22,2,3,1,00,00,7,00,23,00,23,00,0,20,70,0,4,21,75,55,03,04,31,31,01,01,10,10,60,80,3,3,2,2,2,2,2,4,361015274,1361316088,7,2
1,52,105,0007,2,000,002,37000,0,0000,210,2018,12,19,14,00,12,3,2,1,07,00,1,00,23,00,23,04,9,01,70,4,3,21,35,65,03,04,31,31,01,01,03,03,13,10,3,2,2,1,2,2,2,4,360900516,1361551911,4,3
1,52,105,0008,2,000,001,20720,0,0000,210,2018,12,29,12,50,12,2,3,4,01,00,7,09,22,09,22,14,9,30,70,4,2,21,35,25,03,04,31,31,01,01,10,03,80,20,3,3,2,2,2,2,4,2,361105857,1361326848,7,3
1,52,105,0009,2,000,001,10130,0,0000,210,2018,12,29,17,00,21,2,3,1,01,00,7,09,22,09,22,15,9,30,70,4,2,21,25,45,03,03,31,31,01,01,10,04,50,40,3,3,2,2,2,2,4,4,360847918,1361550705,7,3
1,52,105,0010,2,000,001,00080,2,0403,210,2019,01,11,15,14,12,1,2,1,01,00,1,09,22,00,23,19,9,30,70,1,2,21,35,00,04,00,31,00,01,00,10,00,40,00,3,0,2,0,2,0,2,0,360645442,1361524466,6,3
1,52,105,0011,2,000,001,10350,0,0000,210,2019,01,22,13,17,12,1,2,1,07,00,1,00,23,00,23,04,9,01,70,4,2,21,65,65,03,04,31,31,01,01,10,10,80,20,3,3,2,2,2,2,4,2,360805418,1361314075,3,3
1,52,105,0012,2,000,001,37000,0,0000,210,2019,01,23,17,45,21,3,3,1,01,00,7,01,22,09,22,15,9,30,70,4,2,21,55,55,04,04,31,31,01,01,10,03,50,80,3,3,2,2,2,2,4,2,360801870,1361322040,4,3
1,52,105,0013,2,000,001,10350,0,0000,210,2018,12,04,16,13,13,3,2,2,14,00,7,00,23,00,23,04,8,01,70,4,3,01,25,65,04,61,31,00,01,00,03,00,10,00,3,0,2,0,2,0,4,2,360716095,1361340017,3,3
1,52,105,0014,2,000,001,10120,0,0000,210,2019,01,12,12,17,12,1,2,1,01,00,7,09,22,09,22,15,9,30,70,4,3,21,75,35,04,04,31,31,01,01,10,10,50,40,3,3,2,2,2,2,4,2,360934990,1361547200,7,3
1,52,105,0015,2,000,001,00080,1,4032,210,2019,01,09,19,54,22,1,3,1,14,00,7,00,23,00,23,04,9,01,70,1,2,21,45,65,03,03,31,31,01,01,10,10,10,13,3,3,2,2,2,2,4,2,360640191,1361522706,4,3
1,52,105,0016,2,000,001,20140,0,0000,210,2019,01,23,16,58,13,3,2,2,01,00,1,09,22,09,22,15,9,30,70,5,4,21,35,35,03,03,31,31,01,01,03,04,10,40,2,2,2,2,2,2,4,2,360732800,1361452880,4,3
1,52,106,0001,2,000,001,37000,0,0000,208,2018,12,24,06,54,23,2,2,1,01,00,7,09,22,09,22,14,9,30,70,4,2,21,45,45,03,04,31,31,01,01,02,02,30,10,3,3,2,2,2,2,4,2,361323556,1361131570,2,1
1,52,106,0002,2,000,001,10010,0,0000,208,2018,12,13,19,20,22,3,2,2,01,00,1,09,22,00,23,14,9,30,70,4,2,01,75,45,14,61,31,00,11,00,03,00,10,00,3,0,2,0,2,0,4,2,361312158,1361132464,5,3
1,52,107,0001,2,000,001,37000,0,0000,210,2019,01,04,08,08,12,1,3,1,14,00,7,00,23,00,23,03,8,01,70,4,2,21,65,75,03,04,31,31,01,01,03,03,10,30,3,3,2,2,2,2,4,2,361311617,1360839539,6,3
1,52,107,0002,2,000,001,37000,0,0000,210,2018,12,07,09,30,12,2,3,1,01,00,7,09,22,04,22,15,9,30,70,4,2,21,45,75,03,14,31,01,01,11,04,03,80,50,2,2,1,1,2,2,2,4,361355169,1361100937,6,3
1,52,109,0001,2,000,001,04170,0,0000,207,2018,12,28,13,50,12,5,2,2,01,00,7,01,21,09,22,14,9,30,70,4,2,21,65,45,04,04,31,31,01,01,10,03,20,10,2,2,1,1,2,2,4,2,355647154,1361210183,6,3
1,52,109,0002,2,000,001,37000,0,0000,207,2019,01,05,18,29,22,3,3,2,14,00,7,00,23,00,23,03,9,01,70,4,3,21,01,25,17,03,01,31,11,01,03,03,60,80,3,2,2,2,2,2,2,4,355753581,1361221478,7,3
1,52,109,0003,2,000,001,00080,1,0424,207,2018,12,12,17,26,21,3,3,1,14,00,7,00,23,00,23,05,9,01,70,1,2,21,45,65,03,04,31,31,01,01,10,10,10,13,2,2,1,2,2,2,4,2,355614519,1361126430,4,3
1,52,109,0004,2,000,001,00080,1,0421,207,2019,01,05,23,05,22,3,3,2,01,00,1,09,22,09,22,18,9,30,70,1,2,21,25,45,03,04,31,31,01,01,10,10,10,30,3,3,2,2,2,2,4,2,355751048,1361121065,7,3
1,52,109,0005,1,001,000,37000,0,0000,207,2019,01,14,15,08,12,1,3,1,01,00,1,09,22,09,22,15,9,30,70,4,2,21,75,75,03,51,31,00,01,00,03,00,10,40,3,3,2,0,2,0,4,1,355634469,1361146964,2,1
1,52,109,0006,2,000,001,00080,2,4200,207,2019,01,01,18,06,22,3,3,2,01,00,1,09,22,00,23,19,9,30,70,1,2,01,55,35,03,61,31,00,01,00,10,00,10,00,3,0,2,0,2,0,4,2,355812262,1361129233,3,1
1,52,109,0007,2,000,001,04170,0,0000,207,2019,01,08,17,40,21,2,3,1,14,00,7,00,23,00,23,03,9,01,70,4,3,21,25,45,03,04,31,31,01,01,03,03,30,10,3,3,2,2,2,2,2,4,355559905,1361242548,3,3
1,52,109,0008,2,000,001,21790,0,0000,207,2018,12,23,16,05,13,3,3,2,01,00,1,09,22,00,23,15,3,30,70,4,2,01,75,55,03,61,31,00,01,00,03,00,10,00,3,0,2,0,2,0,4,2,355827335,1361035247,1,1
1,52,109,0009,2,000,001,10250,0,0000,207,2018,04,21,15,23,12,1,3,1,14,00,1,00,23,00,23,03,9,01,70,4,2,21,45,55,03,03,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,355654277,1361438177,7,3
1,52,109,0010,2,000,001,00080,2,0000,207,2019,01,29,07,12,11,2,2,2,14,00,1,00,23,00,23,05,9,01,70,1,2,21,45,25,03,04,31,31,01,01,10,10,30,10,2,2,2,1,2,2,2,4,355754469,1361122381,3,3
1,52,111,0001,2,000,002,10340,0,0000,209,2018,12,25,17,22,21,1,2,2,01,00,1,09,22,09,22,14,9,30,70,4,2,21,01,35,04,14,31,31,01,11,04,04,30,10,3,3,2,2,2,2,2,4,355412516,1360915789,3,3
1,52,111,0002,2,000,001,10070,0,0000,209,2019,01,07,20,06,22,3,2,2,01,00,7,09,22,00,23,18,9,30,70,4,2,01,25,75,03,61,31,00,01,00,03,00,10,00,3,0,2,0,2,0,4,2,355433606,1360924816,2,3
1,52,111,0003,2,000,001,37000,0,0000,209,2018,12,26,20,56,22,2,3,2,13,00,7,00,23,00,23,04,4,01,70,4,3,01,45,45,11,61,01,00,11,00,03,00,10,00,3,0,2,0,2,0,4,2,355235617,1360844696,4,3
1,52,111,0004,2,000,003,03650,0,0000,209,2019,01,22,23,00,22,1,2,1,01,00,1,09,22,09,22,15,9,30,70,4,2,21,25,45,03,04,31,31,01,01,03,03,50,80,2,2,1,1,2,2,4,2,355406507,1360939147,3,3
1,52,112,0001,2,000,001,00080,1,4652,202,2019,01,04,12,12,12,1,2,1,14,00,7,00,23,00,23,03,9,01,70,4,2,21,75,01,03,14,31,31,01,11,03,03,30,10,3,3,2,2,2,2,2,4,353842829,1360418339,6,3
1,52,112,0002,2,000,002,37000,0,9999,202,2019,01,09,01,20,22,2,2,1,01,00,7,04,22,09,22,18,9,30,70,4,2,21,25,35,04,04,31,31,01,01,10,03,50,70,1,1,1,2,2,2,4,2,353849070,1360427305,4,3
1,52,112,0003,2,000,001,20580,0,0000,202,2019,01,07,17,38,21,1,2,1,14,00,7,00,23,00,23,03,9,01,70,5,2,21,35,01,04,04,31,31,01,01,10,10,10,30,3,3,2,2,2,2,4,2,353854096,1360258973,2,3
1,52,112,0004,2,000,001,37000,0,0000,202,2018,12,06,06,05,23,1,2,1,01,00,7,00,23,00,23,14,9,30,70,4,2,01,75,00,61,00,00,00,00,00,00,00,00,00,0,0,0,0,0,0,2,0,353815042,1360335749,5,3
1,52,112,0005,2,000,002,00080,1,0000,202,2019,01,01,23,25,22,1,3,1,14,00,7,00,23,00,23,05,9,01,70,4,4,21,01,45,03,03,31,31,01,01,10,10,10,10,2,2,1,1,2,2,4,2,353755618,1360448642,3,1
1,52,112,0006,1,001,001,00270,2,0000,501,2019,01,17,00,30,22,1,3,2,13,00,7,00,23,00,23,03,5,01,70,4,2,21,65,45,11,11,01,01,11,11,04,04,10,10,1,1,1,1,2,2,1,2,353135370,1355440649,5,3
1,52,112,0007,2,000,001,00270,2,0000,202,2019,01,05,18,00,22,3,2,2,01,00,1,09,22,09,22,15,9,30,70,4,2,21,55,01,04,04,31,31,01,01,10,10,70,80,3,2,2,1,2,2,4,2,353800262,1360250257,7,3
1,52,112,0008,2,000,001,37000,0,0000,202,2019,01,18,17,45,21,3,2,2,07,00,1,00,23,00,23,04,9,01,70,4,2,21,35,25,03,04,31,31,01,01,03,03,10,30,3,3,2,2,2,2,4,2,353856502,1360301211,6,3
1,52,112,0009,2,000,001,99000,0,0000,202,2018,12,23,12,04,12,2,2,1,00,00,7,00,23,00,23,00,0,20,70,0,4,41,65,00,03,75,31,00,01,00,10,00,30,00,3,0,2,0,2,0,4,0,353839476,1360333740,1,1
1,52,112,0010,2,000,001,00270,1,0012,442,2018,12,29,17,24,21,3,3,1,11,00,7,00,23,00,23,04,9,01,70,4,2,21,65,55,03,03,31,31,01,01,10,10,10,10,2,3,1,1,2,2,4,2,353650747,1355745783,7,3
1,52,112,0011,2,000,001,10390,0,0000,202,2018,12,17,19,33,22,3,2,2,01,00,1,09,22,00,23,19,9,30,70,4,2,01,45,35,04,61,31,00,01,00,04,00,10,00,3,0,2,0,2,0,4,2,353851421,1360418333,2,3
1,52,112,0012,1,001,000,00080,1,0000,202,2019,01,25,12,35,12,1,3,1,11,00,7,00,23,00,23,03,9,01,70,4,2,21,35,55,11,03,01,31,11,01,10,10,10,10,1,1,2,1,2,2,4,1,353724855,1360451933,6,3
1,52,112,0013,2,000,001,37000,0,0000,202,2019,01,23,19,55,22,3,3,2,01,00,7,09,22,00,23,14,9,30,70,4,2,01,75,25,04,61,31,00,01,00,03,00,50,00,3,0,2,0,2,0,4,2,353842647,1360222267,4,3
1,52,112,0014,2,000,001,37000,0,0000,202,2019,01,01,13,40,12,1,2,1,01,00,7,09,22,09,22,15,9,30,70,5,3,21,65,55,03,04,01,31,01,01,03,03,20,10,3,3,2,2,2,2,4,2,353836557,1360300437,3,1
1,52,113,0001,1,001,000,00270,2,0686,481,2019,01,09,05,53,22,3,3,2,14,00,7,00,23,00,23,03,9,01,70,4,2,21,01,55,03,14,31,31,01,11,04,04,14,10,1,1,1,1,1,2,4,1,352920801,1353110035,4,3
1,52,113,0002,2,000,001,10310,0,0000,204,2019,01,03,10,07,12,3,3,2,01,00,1,09,22,00,23,15,9,30,70,4,2,01,75,45,14,61,31,00,11,00,04,00,10,00,3,0,2,0,2,0,4,2,352943944,1354518225,5,3
1,52,113,0003,2,000,001,00270,2,3800,204,2019,01,18,17,24,21,3,2,2,01,00,1,09,22,00,23,15,9,30,70,4,2,01,55,01,03,61,31,00,01,00,04,00,50,00,2,0,2,0,2,0,4,2,352852444,1354651254,6,3
1,52,113,0004,2,000,001,00270,1,4222,204,2019,01,11,17,53,21,1,2,2,14,00,7,00,23,00,23,03,9,01,70,4,2,21,01,35,03,03,31,31,01,01,04,04,10,13,3,3,2,2,2,2,4,2,352838584,1354747849,6,3
