資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日)
1,52,059,0001,2,000,001,50010,2,0059,322,2018,12,28,17,45,21,2,3,3,14,00,7,00,23,00,23,04,9,01,70,6,4,21,55,25,03,03,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,360447337,1362146018,6,3
1,52,059,0002,2,000,001,43010,1,0446,202,2019,01,03,12,23,12,2,3,1,11,00,7,00,23,00,23,05,9,01,70,1,4,21,01,45,03,04,31,31,01,01,04,04,30,10,3,3,2,2,2,2,2,4,353739780,1360545237,5,3
1,52,059,0003,2,000,002,44250,1,1562,202,2019,01,03,05,40,22,5,3,4,14,00,7,00,23,00,23,03,9,01,70,6,4,41,45,00,03,75,31,00,01,00,04,00,50,00,1,0,2,0,2,0,2,0,353605156,1360314624,5,3
1,52,059,0004,2,000,002,44250,1,1562,202,2019,01,03,05,45,22,5,3,4,14,00,7,00,23,00,23,03,9,01,70,6,4,41,01,00,03,75,31,00,01,00,04,00,10,00,1,0,2,0,2,0,4,0,353604966,1360315229,5,3
1,52,059,0005,2,000,002,44250,1,1562,202,2019,01,03,05,46,22,5,3,4,14,00,7,00,23,00,23,03,9,01,70,6,4,41,25,00,04,75,31,00,01,00,04,00,50,00,2,0,2,0,2,0,2,0,353650522,1355943840,5,3
1,52,101,0001,2,000,002,10360,0,0000,201,2019,01,01,08,24,12,1,2,2,01,00,1,09,22,09,22,15,9,30,70,4,2,21,35,55,03,04,31,31,01,01,03,10,10,20,2,2,1,2,2,2,2,4,360657172,1361343447,3,1
1,52,101,0002,2,000,002,37000,0,0000,201,2018,12,21,22,14,22,3,1,2,01,00,7,01,22,09,22,15,9,30,70,4,3,21,65,45,04,04,31,31,01,01,10,10,40,10,3,3,2,2,2,2,4,2,360411018,1361253450,6,3
1,52,101,0003,2,000,001,10010,0,0000,201,2018,12,21,18,35,22,2,2,1,07,00,1,00,23,00,23,05,9,01,70,4,2,21,01,45,04,04,31,31,01,01,10,10,10,20,3,3,2,2,2,2,4,2,360311287,1361424823,6,3
1,52,101,0004,2,000,001,20370,0,0000,201,2018,11,13,10,30,12,1,2,1,14,00,7,00,23,00,23,04,9,01,70,4,2,21,25,35,03,03,31,31,01,01,04,04,50,70,3,3,2,2,2,2,4,2,360408328,1361332980,3,3
1,52,101,0005,2,000,001,37000,0,0000,201,2018,11,27,16,00,13,1,3,1,14,00,7,00,23,00,23,03,9,01,70,5,4,21,75,01,03,51,31,00,01,00,10,00,10,20,3,3,2,0,2,0,4,2,360454033,1361141802,3,3
1,52,101,0006,2,000,002,37000,0,0000,201,2018,12,28,14,42,12,5,3,2,01,00,7,01,21,09,22,14,9,30,70,4,4,21,25,55,04,04,31,31,01,01,10,10,80,10,3,3,2,2,2,2,4,2,360531948,1361521448,6,3
1,52,101,0007,2,000,001,04160,0,0000,201,2018,12,10,08,05,12,2,3,3,12,00,7,00,23,00,23,03,9,01,70,4,2,21,45,01,03,03,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,360710674,1361013052,2,3
1,52,101,0008,2,000,001,37000,0,0000,201,2018,12,26,18,01,22,3,2,2,14,00,7,00,23,00,23,03,9,01,70,5,3,21,75,25,03,04,01,31,01,01,10,10,30,60,3,3,2,2,2,2,4,2,360344451,1361251627,4,3
1,52,101,0009,2,000,001,00080,1,0000,201,2018,12,15,17,50,22,2,3,1,14,00,7,00,23,00,23,04,7,01,70,1,2,21,35,35,03,04,31,31,01,01,10,10,30,10,3,3,2,2,2,2,2,4,360617483,1361516713,7,3
1,52,101,0010,2,000,001,37000,0,0000,201,2019,01,01,17,15,21,3,2,2,14,00,7,00,23,00,23,04,9,01,70,4,2,21,25,35,03,04,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,360435335,1361150595,3,1
1,52,101,0011,2,000,001,37000,0,0000,201,2018,12,01,19,19,22,2,2,1,14,00,7,00,23,00,23,03,9,01,70,4,2,01,55,75,03,61,31,00,01,00,03,00,10,00,3,0,2,0,2,0,4,2,360325427,1361318824,7,3
1,52,101,0012,2,000,001,00080,1,0000,201,2018,12,17,12,57,12,3,2,2,07,00,1,00,23,00,23,05,9,01,70,1,2,21,25,01,17,04,31,31,11,01,10,10,10,13,3,3,2,2,2,2,4,4,360344395,1361430403,2,3
1,52,101,0013,2,000,001,37000,0,0000,201,2018,12,27,18,06,22,3,2,2,01,00,7,01,21,09,22,15,9,30,70,5,4,21,01,35,04,04,31,31,01,01,03,03,10,40,2,2,2,2,2,2,4,2,360426676,1361414449,5,3
1,52,101,0014,2,000,001,37000,0,0000,201,2018,12,09,15,41,13,3,2,2,14,00,7,00,23,00,23,03,9,01,70,5,2,21,01,55,03,03,31,31,01,01,10,10,80,70,3,3,2,2,2,2,4,2,360518740,1361457430,1,3
1,52,101,0015,2,000,003,37000,0,0000,201,2018,12,11,07,50,11,2,2,2,01,00,7,01,21,09,22,15,9,30,70,5,2,21,25,25,03,03,31,31,01,01,10,02,80,70,3,2,2,2,2,2,2,2,360537658,1361246988,3,3
1,52,101,0016,2,000,001,10360,0,0000,201,2018,12,09,17,51,22,3,2,2,01,00,2,09,22,00,23,14,9,30,70,4,2,01,45,55,03,61,31,00,01,00,04,00,80,00,3,0,2,0,2,0,4,2,360655097,1361402142,1,3
1,52,101,0017,2,000,001,10010,0,0000,201,2018,12,29,09,35,12,5,3,2,14,00,7,00,23,00,23,04,9,01,70,4,2,21,35,65,03,04,31,31,01,01,04,04,10,30,3,3,2,2,2,2,4,2,360708435,1361203716,7,3
1,52,101,0018,2,000,001,10340,0,0000,201,2019,01,07,21,35,22,2,2,1,01,00,1,09,22,09,22,19,9,30,70,4,2,21,35,55,04,51,31,00,01,00,04,00,10,40,2,2,2,0,2,0,4,2,360344059,1361302939,2,3
1,52,101,0019,2,000,001,10360,0,0000,201,2019,01,05,23,44,22,2,2,1,01,00,1,09,22,09,22,15,9,30,70,4,2,21,65,01,04,04,31,31,01,01,10,10,50,50,3,3,2,2,2,2,4,2,360659556,1361417838,7,3
1,52,101,0020,2,000,001,10010,0,0000,201,2018,10,27,12,26,12,3,1,2,01,00,7,09,22,00,23,18,9,30,70,1,2,21,01,00,51,00,00,00,00,00,00,00,00,00,3,0,0,0,0,0,2,0,360350258,1361247046,7,3
1,52,101,0021,2,000,003,37000,0,0000,201,2018,12,30,14,52,12,1,2,1,01,00,7,01,22,09,22,15,9,30,70,4,3,21,25,45,04,04,31,31,01,01,10,10,80,50,2,2,1,1,2,2,4,2,360455446,1361437377,1,3
1,52,101,0022,2,000,001,37000,0,0000,201,2018,12,09,10,45,12,3,2,2,01,00,7,09,22,09,22,18,9,30,70,4,2,21,75,01,04,51,31,00,01,00,10,00,10,20,3,3,2,0,2,0,4,2,360457107,1361327637,1,3
1,52,101,0023,2,000,001,37000,0,0000,201,2019,01,11,06,44,23,2,1,1,01,00,1,09,22,09,22,14,9,30,70,4,2,21,35,55,14,14,31,31,11,11,03,03,10,80,2,2,2,1,2,2,4,2,360438884,1361234677,6,3
1,52,101,0024,2,000,001,37000,0,0000,201,2019,01,04,12,10,12,1,2,1,01,00,7,09,22,09,22,15,9,30,70,4,2,21,45,25,03,14,31,01,01,11,03,10,20,80,3,3,2,2,2,2,2,4,360354971,1361455053,6,3
1,52,101,0025,2,000,001,37000,0,0000,201,2018,12,25,09,23,12,2,3,1,01,00,1,09,22,00,23,15,9,30,70,4,2,01,75,55,04,61,31,00,01,00,03,00,10,00,3,0,2,0,2,0,4,2,360247446,1361514016,3,3
1,52,101,0026,2,000,002,00080,1,0403,201,2018,12,22,10,59,12,1,2,1,14,00,7,00,23,00,23,05,9,01,70,1,2,21,65,45,03,04,31,31,01,01,10,10,30,10,3,3,2,2,2,2,2,4,360327567,1361430452,7,2
1,52,101,0027,2,000,001,37000,0,0000,201,2019,01,14,17,50,21,1,3,1,01,00,7,09,22,09,22,15,9,30,70,4,2,21,35,35,03,04,31,31,01,01,10,10,80,10,2,2,2,2,2,2,4,2,360702919,1361351688,2,1
1,52,101,0028,2,000,001,10360,0,0000,201,2019,01,08,07,57,11,2,1,1,01,00,7,09,22,09,22,14,9,30,70,5,2,21,75,01,03,51,31,00,01,00,10,00,80,10,3,3,2,0,2,0,4,2,360412410,1361305644,3,3
1,52,101,0029,2,000,001,37000,0,0000,201,2019,01,15,05,00,22,1,2,1,01,00,7,09,22,04,21,15,9,30,70,4,2,21,65,55,03,13,31,01,01,11,04,03,50,10,2,2,2,2,2,2,2,4,360519697,1361436506,3,3
1,52,101,0030,2,000,001,37000,0,0000,201,2018,12,18,12,48,12,3,1,2,01,00,1,09,22,09,22,15,9,30,70,5,2,21,65,35,04,04,31,31,01,01,03,03,14,12,3,3,1,1,2,2,4,2,360448854,1361256711,3,3
1,52,101,0031,2,000,001,37000,0,0000,201,2019,01,08,22,10,22,2,2,1,01,00,3,09,22,09,22,15,9,30,70,4,2,21,01,25,04,04,31,31,01,01,02,10,80,50,2,2,1,1,2,2,4,2,360549257,1361248596,3,3
1,52,101,0032,2,000,001,37000,0,0000,201,2018,12,30,21,38,22,5,2,2,01,00,1,09,22,09,22,15,9,30,70,4,2,21,45,01,04,51,31,00,01,00,04,00,10,20,3,3,2,0,2,0,4,2,360433957,1361150171,1,3
1,52,101,0033,2,000,001,10010,0,0000,201,2019,01,19,17,01,13,1,2,1,14,00,7,00,23,00,23,05,9,01,70,1,2,21,25,55,03,04,31,31,01,01,10,10,80,20,3,3,2,2,2,2,2,4,360312414,1361421803,7,3
1,52,101,0034,2,000,002,37000,0,0000,201,2019,01,10,16,50,13,2,2,1,14,00,7,00,23,00,23,03,9,01,70,4,2,21,55,65,03,13,01,31,01,11,03,03,00,00,4,4,2,2,2,2,4,4,360410103,1361150715,5,3
1,52,101,0035,2,000,001,37000,0,0000,201,2019,01,26,07,27,11,1,2,2,14,00,7,00,23,00,23,03,9,01,70,5,2,01,45,55,12,61,31,00,11,00,10,00,70,00,3,0,2,0,2,0,4,2,360514630,1361403050,7,3
1,52,101,0036,2,000,001,10360,0,0000,201,2019,01,21,17,40,21,3,2,2,07,00,1,00,23,00,23,04,9,01,70,4,2,21,65,35,03,04,31,31,01,01,04,04,10,13,3,3,2,1,2,2,4,2,360458586,1361328788,2,3
1,52,101,0037,2,000,001,01580,0,0000,201,2018,12,28,18,21,22,5,3,3,14,00,7,00,23,00,23,03,9,01,70,4,2,21,35,25,12,04,31,31,11,01,04,04,60,50,3,3,2,2,2,2,4,2,360010342,1362415590,6,3
1,52,101,0038,2,000,002,04160,0,0000,201,2018,07,23,12,23,12,1,2,1,14,00,7,00,23,00,23,03,9,01,70,4,2,21,45,35,03,04,31,31,01,01,03,03,13,10,3,3,2,1,2,2,2,4,360458463,1361246939,2,3
1,52,101,0039,2,000,001,37000,0,0000,201,2019,01,18,11,00,12,2,2,1,01,00,1,09,22,00,23,17,9,30,70,4,2,01,55,75,04,61,31,00,01,00,04,00,50,00,3,0,2,0,2,0,4,2,360444804,1361150788,6,3
1,52,101,0040,2,000,001,00080,2,4088,201,2018,12,01,21,02,22,2,2,1,01,00,1,09,22,09,22,18,9,30,70,1,1,21,65,25,03,33,31,31,01,00,10,10,40,10,2,1,2,0,2,0,4,2,360343552,1361430639,7,3
1,52,101,0041,2,000,001,37000,0,0000,201,2019,01,20,20,45,22,3,2,2,01,00,7,09,22,09,22,15,9,30,70,4,3,21,45,01,03,03,31,31,01,01,10,10,10,40,2,3,1,2,1,2,4,2,360523312,1361410938,1,3
1,52,101,0042,2,000,001,00080,1,0000,201,2019,01,21,04,38,22,3,2,2,01,00,1,09,22,09,22,19,9,30,70,1,2,21,55,35,12,51,01,00,11,00,10,00,10,40,3,3,2,0,2,0,4,2,360507009,1361450275,2,3
1,52,101,0043,2,000,001,37000,0,0000,201,2019,01,19,01,14,22,2,1,1,01,00,7,09,22,04,22,15,9,30,70,4,3,21,01,75,03,04,31,31,01,01,10,10,80,50,2,2,1,1,2,2,2,4,360357408,1361246473,7,3
1,52,101,0044,2,000,001,37000,0,0000,201,2019,01,09,17,41,21,2,1,1,01,00,7,01,21,00,23,15,9,30,70,5,2,01,55,45,03,61,31,00,01,00,01,00,80,00,3,0,2,0,2,0,4,2,360353178,1361331435,4,3
1,52,103,0001,2,000,001,37000,0,0000,205,2019,01,20,18,00,21,3,3,2,01,00,1,09,22,00,23,15,9,30,70,4,2,01,25,65,04,61,31,00,01,00,03,00,50,00,3,0,2,0,2,0,4,2,355838164,1362916810,1,3
1,52,105,0001,2,000,002,20140,0,0000,210,2018,12,05,17,35,21,1,3,1,01,00,1,09,22,09,22,15,9,30,70,4,3,21,45,75,03,03,31,31,01,01,04,04,50,50,3,3,2,2,2,2,4,2,360758975,1361452468,4,3
1,52,105,0002,2,000,001,00080,2,3990,210,2018,11,29,06,24,23,1,2,1,01,00,1,09,22,09,22,18,9,30,70,1,2,21,45,45,13,13,31,31,11,11,10,10,80,10,2,2,1,1,2,2,2,4,360934399,1361551312,5,3
1,52,105,0003,2,000,001,37000,0,0000,210,2018,12,10,08,13,12,1,3,2,01,00,8,01,21,09,22,15,9,30,70,4,2,21,01,55,04,04,31,31,01,01,10,03,20,10,3,3,2,1,2,2,4,2,360725643,1361520905,2,3
1,52,105,0004,2,000,002,00080,2,4030,210,2018,12,14,11,21,12,2,3,1,14,00,7,00,23,00,23,05,9,01,70,1,2,21,55,01,12,04,01,31,11,01,10,10,10,13,3,3,2,1,2,2,4,4,360705820,1361529718,6,3
