資料区分,都道府県コード,警察署等コード,本票番号,補充票番号,当事者種別,乗車別,乗車等の区分,エアバッグの装備,サイドエアバッグの装備,人身損傷程度,用途別,車両形状,車両の衝突部位,車両の損壊程度
2,10,059,0001,001,03,2,01,1,2,2,  ,  ,  , 
2,10,059,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,059,0002,002,03,2,01,2,2,2,  ,  ,  , 
2,10,059,0003,001,03,1,07,2,2,2,31,01,30,3
2,10,059,0006,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0005,001,03,2,01,1,1,2,  ,  ,  , 
2,10,101,0006,001,61,5,07,0,0,2,00,00,00,0
2,10,101,0016,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0028,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0007,001,03,1,07,2,2,2,31,01,80,3
2,10,102,0007,002,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0016,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0017,001,04,2,01,2,2,2,  ,  ,  , 
2,10,102,0028,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0030,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0030,002,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0033,001,04,1,07,2,2,2,31,01,20,3
2,10,102,0040,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0052,001,03,2,01,2,2,2,  ,  ,  , 
2,10,103,0008,001,04,2,01,2,2,2,  ,  ,  , 
2,10,103,0010,001,03,2,01,2,2,2,  ,  ,  , 
2,10,103,0030,001,04,2,01,2,2,2,  ,  ,  , 
2,10,104,0005,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0008,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0010,001,03,1,07,2,2,2,31,01,15,3
2,10,104,0014,001,04,2,01,2,2,2,  ,  ,  , 
2,10,104,0022,001,13,2,01,2,2,2,  ,  ,  , 
2,10,104,0026,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0027,001,04,2,01,2,2,2,  ,  ,  , 
2,10,104,0038,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0045,001,04,2,01,2,2,2,  ,  ,  , 
2,10,105,0004,001,03,2,01,2,2,2,  ,  ,  , 
2,10,105,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,10,105,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,105,0014,001,03,2,01,2,2,2,  ,  ,  , 
2,10,105,0017,001,04,2,01,2,2,2,  ,  ,  , 
2,10,106,0001,001,03,1,07,2,2,2,31,01,30,3
2,10,106,0007,001,03,1,07,2,2,2,31,01,50,3
2,10,106,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0011,001,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0013,001,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0015,001,04,2,01,2,2,2,  ,  ,  , 
2,10,106,0015,002,04,2,01,2,2,2,  ,  ,  , 
2,10,107,0004,001,14,2,01,2,2,2,  ,  ,  , 
2,10,107,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0007,002,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0007,003,04,1,07,2,2,2,31,01,52,3
2,10,107,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0015,001,03,2,01,1,2,2,  ,  ,  , 
2,10,107,0016,001,13,2,01,2,2,2,  ,  ,  , 
2,10,107,0016,002,13,2,01,2,2,2,  ,  ,  , 
2,10,107,0016,003,13,2,01,2,2,2,  ,  ,  , 
2,10,107,0018,001,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0019,001,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0019,002,03,2,01,2,2,2,  ,  ,  , 
2,10,107,0020,001,04,2,01,2,2,2,  ,  ,  , 
2,10,107,0020,002,03,1,07,2,2,2,31,01,30,3
2,10,111,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,112,0001,001,04,2,01,2,2,2,  ,  ,  , 
2,10,114,0002,001,61,5,07,0,0,2,00,00,00,0
2,10,114,0004,001,03,1,07,1,2,2,31,01,50,1
2,10,114,0004,002,03,2,01,1,2,2,  ,  ,  , 
2,10,114,0006,001,03,2,01,2,2,2,  ,  ,  , 
2,10,114,0007,001,03,2,01,1,2,2,  ,  ,  , 
2,10,117,0004,001,04,2,01,2,2,2,  ,  ,  , 
2,10,117,0008,001,03,1,07,1,2,2,31,01,30,3
2,10,118,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,119,0006,001,12,2,01,1,2,2,  ,  ,  , 
2,10,119,0008,001,03,2,01,2,2,2,  ,  ,  , 
2,10,119,0008,002,03,2,01,2,2,2,  ,  ,  , 
2,10,119,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,120,0003,001,03,2,01,1,2,2,  ,  ,  , 
2,10,120,0011,001,03,2,01,2,2,2,  ,  ,  , 
2,10,120,0011,002,03,2,01,2,2,2,  ,  ,  , 
2,10,120,0011,003,03,2,01,2,2,2,  ,  ,  , 
2,10,120,0011,004,03,2,01,2,2,2,  ,  ,  , 
2,10,121,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,122,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,122,0010,001,17,1,07,2,2,2,31,11,30,3
2,10,123,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0015,001,01,2,01,2,2,2,  ,  ,  , 
2,10,123,0018,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0019,001,03,2,01,1,2,2,  ,  ,  , 
2,10,123,0026,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0026,002,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0026,003,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0035,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0036,001,04,2,01,2,2,2,  ,  ,  , 
2,10,123,0037,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0037,002,03,2,01,2,2,2,  ,  ,  , 
2,10,127,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,10,127,0009,001,61,5,07,0,0,2,00,00,00,0
2,10,127,0010,001,03,2,01,2,2,2,  ,  ,  , 
2,10,127,0025,001,04,2,01,2,2,2,  ,  ,  , 
2,10,127,0028,001,01,2,01,2,2,2,  ,  ,  , 
2,10,128,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0003,001,04,2,01,2,2,2,  ,  ,  , 
2,10,128,0004,001,03,1,07,2,2,2,31,01,30,3
2,10,128,0008,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0012,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0017,001,13,1,07,1,2,2,31,11,10,2
2,10,128,0024,001,03,1,07,2,2,2,31,01,30,2
2,10,128,0027,001,04,2,01,2,2,2,  ,  ,  , 
2,10,128,0032,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0032,002,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0033,001,13,2,01,2,2,2,  ,  ,  , 
2,10,128,0034,001,13,2,01,2,2,2,  ,  ,  , 
2,10,128,0041,001,03,1,07,2,2,2,31,01,30,2
2,10,128,0041,002,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0052,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0053,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0066,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0072,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0072,002,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0008,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0010,001,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0010,002,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0012,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0020,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0021,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0022,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0023,001,14,2,01,2,2,2,  ,  ,  , 
2,10,129,0025,001,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0029,001,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0035,001,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0042,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0042,002,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0047,001,04,2,01,2,2,2,  ,  ,  , 
2,10,129,0050,001,01,2,01,2,2,2,  ,  ,  , 
2,10,129,0052,001,04,2,01,2,2,2,  ,  ,  , 
2,10,130,0004,001,03,2,01,2,2,2,  ,  ,  , 
2,10,130,0005,001,03,2,01,2,2,2,  ,  ,  , 
2,10,130,0005,002,03,1,07,2,2,2,31,01,10,3
2,10,130,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,10,130,0007,002,03,2,01,2,2,2,  ,  ,  , 
2,10,130,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,130,0010,001,14,2,01,2,2,2,  ,  ,  , 
2,10,130,0014,001,03,2,01,1,2,2,  ,  ,  , 
2,10,130,0023,001,04,2,01,2,2,2,  ,  ,  , 
2,10,130,0025,001,04,2,01,2,2,2,  ,  ,  , 
2,10,130,0032,001,04,2,01,2,2,2,  ,  ,  , 
2,10,131,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,131,0011,001,04,2,01,2,2,2,  ,  ,  , 
2,10,131,0012,001,04,2,01,1,2,2,  ,  ,  , 
2,11,078,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0006,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0006,002,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0007,001,13,2,01,2,2,2,  ,  ,  , 
2,11,201,0007,002,13,2,01,2,2,2,  ,  ,  , 
2,11,201,0010,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0012,001,04,2,01,2,2,2,  ,  ,  , 
2,11,201,0013,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0020,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0021,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0023,001,61,5,07,0,0,2,00,00,00,0
2,11,201,0024,001,61,5,07,0,0,2,00,00,00,0
2,11,201,0028,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0034,001,04,1,07,2,2,2,31,01,30,3
2,11,201,0041,001,04,2,01,2,2,2,  ,  ,  , 
2,11,201,0043,001,03,2,01,2,2,2,  ,  ,  , 
2,11,201,0045,001,04,2,01,2,2,2,  ,  ,  , 
2,11,202,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,11,204,0001,001,03,2,01,1,2,2,  ,  ,  , 
2,11,205,0001,001,13,2,01,1,2,2,  ,  ,  , 
2,11,205,0001,002,13,2,01,2,2,2,  ,  ,  , 
2,12,078,0002,001,17,1,07,2,2,2,31,11,60,3
2,12,078,0003,001,03,1,07,1,2,2,31,01,18,2
2,12,078,0003,002,03,2,01,1,2,2,  ,  ,  , 
2,12,078,0003,003,03,2,01,2,2,2,  ,  ,  , 
2,12,301,0008,001,71,5,07,0,0,2,  ,  ,  , 
2,12,301,0014,001,03,2,01,2,2,2,  ,  ,  , 
2,12,301,0015,001,03,2,01,2,2,2,  ,  ,  , 
2,12,301,0020,001,03,2,01,2,2,2,  ,  ,  , 
2,12,301,0023,001,03,1,07,2,2,2,31,01,50,3
2,12,301,0023,002,03,2,01,2,2,2,  ,  ,  , 
2,12,301,0024,001,03,2,01,1,2,2,  ,  ,  , 
2,12,301,0027,001,12,2,01,2,2,2,  ,  ,  , 
2,12,303,0002,001,14,2,01,2,2,1,  ,  ,  , 
2,12,307,0002,001,14,2,01,2,2,2,  ,  ,  , 
2,12,307,0002,002,14,2,01,2,2,2,  ,  ,  , 
2,12,307,0002,003,14,2,01,2,2,2,  ,  ,  , 
2,12,307,0002,004,14,2,01,2,2,2,  ,  ,  , 
2,12,308,0004,001,03,2,01,2,2,2,  ,  ,  , 
2,12,308,0005,001,03,2,01,1,2,2,  ,  ,  , 
2,12,313,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,12,313,0005,001,04,1,07,1,2,2,31,01,50,1
2,12,313,0005,002,04,2,01,1,2,2,  ,  ,  , 
2,12,313,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,12,313,0008,001,03,2,01,1,2,2,  ,  ,  , 
2,12,313,0008,002,03,1,07,1,2,2,31,01,50,2
2,12,313,0014,001,04,2,01,2,2,2,  ,  ,  , 
2,12,313,0017,001,03,2,01,2,2,2,  ,  ,  , 
2,12,313,0018,001,04,2,01,1,2,2,  ,  ,  , 
