資料区分,都道府県コード,警察署等コード,本票番号,補充票番号,当事者種別,乗車別,乗車等の区分,エアバッグの装備,サイドエアバッグの装備,人身損傷程度,用途別,車両形状,車両の衝突部位,車両の損壊程度
2,10,101,0012,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0016,001,13,2,01,2,2,2,  ,  ,  , 
2,10,101,0018,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0024,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0026,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0032,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0034,001,04,1,07,2,2,2,31,01,30,3
2,10,101,0036,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0040,001,03,2,01,2,2,2,  ,  ,  , 
2,10,101,0040,002,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0005,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0006,001,04,2,01,2,2,2,  ,  ,  , 
2,10,102,0012,001,03,1,07,2,2,2,01,01,30,3
2,10,102,0014,001,03,2,01,2,2,2,  ,  ,  , 
2,10,102,0031,001,03,2,01,2,2,2,  ,  ,  , 
2,10,103,0007,001,03,2,01,2,2,2,  ,  ,  , 
2,10,103,0010,001,03,2,01,2,2,2,  ,  ,  , 
2,10,103,0014,001,14,2,01,2,2,2,  ,  ,  , 
2,10,103,0031,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0012,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0016,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0021,001,71,5,07,0,0,2,  ,  ,  , 
2,10,104,0023,001,04,2,01,2,2,2,  ,  ,  , 
2,10,104,0040,001,03,2,01,2,2,2,  ,  ,  , 
2,10,104,0052,001,03,1,07,1,2,2,31,01,10,2
2,10,105,0004,001,04,2,01,2,2,2,  ,  ,  , 
2,10,105,0006,001,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0001,002,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0004,001,03,2,01,1,2,2,  ,  ,  , 
2,10,106,0004,002,03,2,01,1,2,2,  ,  ,  , 
2,10,106,0004,003,03,2,01,1,2,2,  ,  ,  , 
2,10,106,0004,004,03,2,01,1,2,2,  ,  ,  , 
2,10,106,0004,005,03,2,01,1,2,2,  ,  ,  , 
2,10,106,0004,006,04,1,07,2,2,2,31,01,30,3
2,10,106,0004,007,04,2,01,2,2,2,  ,  ,  , 
2,10,106,0005,001,04,2,01,2,2,2,  ,  ,  , 
2,10,106,0005,002,03,1,07,2,2,2,31,01,30,3
2,10,106,0005,003,03,2,01,2,2,2,  ,  ,  , 
2,10,106,0007,001,13,2,01,2,2,2,  ,  ,  , 
2,10,106,0019,001,03,1,07,2,2,2,31,01,80,3
2,10,106,0020,001,04,2,01,2,2,2,  ,  ,  , 
2,10,107,0004,001,04,2,01,2,2,2,  ,  ,  , 
2,10,107,0006,001,03,2,01,1,2,2,  ,  ,  , 
2,10,108,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,108,0001,002,03,2,01,2,2,2,  ,  ,  , 
2,10,108,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,111,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,114,0001,001,03,2,01,2,2,2,  ,  ,  , 
2,10,114,0002,001,03,2,01,2,2,2,  ,  ,  , 
2,10,114,0002,002,03,2,01,2,2,2,  ,  ,  , 
2,10,116,0001,001,04,2,01,2,2,2,  ,  ,  , 
2,10,117,0004,001,01,2,01,2,2,2,  ,  ,  , 
2,10,117,0014,001,03,2,01,2,2,2,  ,  ,  , 
2,10,119,0003,001,71,5,07,0,0,2,  ,  ,  , 
2,10,119,0003,002,71,5,07,0,0,2,  ,  ,  , 
2,10,119,0004,001,03,2,01,2,2,2,  ,  ,  , 
2,10,119,0005,001,04,2,01,2,2,2,  ,  ,  , 
2,10,122,0002,001,01,2,01,2,2,2,  ,  ,  , 
2,10,122,0003,001,03,2,01,2,2,2,  ,  ,  , 
2,10,122,0010,001,03,2,01,2,2,2,  ,  ,  , 
2,10,122,0011,001,04,2,01,2,2,2,  ,  ,  , 
2,10,123,0006,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0012,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0013,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0017,001,04,2,01,2,2,2,  ,  ,  , 
2,10,123,0024,001,03,2,01,2,2,2,  ,  ,  , 
2,10,123,0024,002,03,2,01,2,2,2,  ,  ,  , 
2,10,127,0009,001,03,2,01,2,2,2,  ,  ,  , 
2,10,127,0010,001,03,2,01,1,2,2,  ,  ,  , 
2,10,127,0011,001,03,1,07,2,2,2,31,01,60,3
2,10,127,0016,001,03,2,01,1,2,2,  ,  ,  , 
2,10,127,0016,002,03,1,07,2,2,2,31,01,50,2
2,10,127,0016,003,03,1,07,2,2,2,31,01,80,2
2,10,127,0029,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0009,001,04,2,01,2,2,2,  ,  ,  , 
2,10,128,0014,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0015,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0021,001,71,5,07,0,0,2,  ,  ,  , 
2,10,128,0021,002,71,5,07,0,0,2,  ,  ,  , 
2,10,128,0040,001,04,2,01,2,2,2,  ,  ,  , 
2,10,128,0042,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0051,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0056,001,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0056,002,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0056,003,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0057,001,03,1,07,2,2,2,31,01,15,3
2,10,128,0057,002,03,2,01,2,2,2,  ,  ,  , 
2,10,128,0060,001,01,2,01,2,2,2,  ,  ,  , 
2,10,129,0004,001,03,2,01,2,2,2,  ,  ,  , 
2,10,129,0022,001,03,2,01,2,2,2,  ,  ,  , 
